round,local_updates,examples_processed,train_loss,train_accuracy,drift,grad_norm,selected_clients,aggregation_weights,client_losses,client_accuracies,seed,hard_k
9,54,3456,1.0580550369262696,0.7211333333333334,,,"[0, 1]","[0.5, 0.5]","[1.0581353739420574, 1.0579746999104818]","[0.7226, 0.7196666666666667]",1,1
10,60,3840,0.9738650060017904,0.7084666666666666,,,"[0, 1]","[0.5, 0.5]","[0.9743334584554036, 0.9733965535481771]","[0.7101333333333333, 0.7068]",1,1
11,66,4224,1.1657231140136717,0.6248,,,"[0, 1]","[0.5, 0.5]","[1.1655194864908853, 1.1659267415364583]","[0.6236666666666667, 0.6259333333333333]",1,1
12,72,4608,0.7691191136678059,0.7958,,,"[0, 1]","[0.5, 0.5]","[0.7701650065104166, 0.7680732208251954]","[0.7957333333333333, 0.7958666666666666]",1,1
13,78,4992,0.7718628595987955,0.7948,,,"[0, 1]","[0.5, 0.5]","[0.7742461222330729, 0.7694795969645182]","[0.7953333333333333, 0.7942666666666667]",1,1
14,84,5376,0.8256476816813151,0.7354666666666667,,,"[0, 1]","[0.5, 0.5]","[0.8286337280273437, 0.8226616353352865]","[0.7335333333333334, 0.7374]",1,1
15,90,5760,0.6683210400899251,0.7962,,,"[0, 1]","[0.5, 0.5]","[0.6707676274617513, 0.665874452718099]","[0.798, 0.7944]",1,1
16,96,6144,0.6172262837727864,0.8111666666666667,,,"[0, 1]","[0.5, 0.5]","[0.6174615346272786, 0.6169910329182943]","[0.8133333333333334, 0.809]",1,1
17,102,6528,0.5922744750976563,0.7985,,,"[0, 1]","[0.5, 0.5]","[0.5943241495768229, 0.5902248006184896]","[0.7978, 0.7992]",1,1
18,108,6912,0.5240159441630046,0.8609333333333333,,,"[0, 1]","[0.5, 0.5]","[0.5237482635498046, 0.5242836247762044]","[0.8629333333333333, 0.8589333333333333]",1,1
19,114,7296,0.5229887657165527,0.8406,,,"[0, 1]","[0.5, 0.5]","[0.5199674545288085, 0.5260100769042969]","[0.8420666666666666, 0.8391333333333333]",1,1
20,120,7680,0.5186958460489909,0.8349666666666666,,,"[0, 1]","[0.5, 0.5]","[0.518924403889974, 0.5184672882080078]","[0.8352666666666667, 0.8346666666666667]",1,1
21,126,8064,0.5398325973510743,0.8261333333333334,,,"[0, 1]","[0.5, 0.5]","[0.5374824798583985, 0.54218271484375]","[0.8275333333333333, 0.8247333333333333]",1,1
22,132,8448,0.6793538602193196,0.7827999999999999,,,"[0, 1]","[0.5, 0.5]","[0.6818333918253581, 0.6768743286132812]","[0.7828666666666667, 0.7827333333333333]",1,1
23,138,8832,0.4284876775105794,0.8742333333333333,,,"[0, 1]","[0.5, 0.5]","[0.42591808319091795, 0.4310572718302409]","[0.8762666666666666, 0.8722]",1,1
24,144,9216,0.43070513636271157,0.8824,,,"[0, 1]","[0.5, 0.5]","[0.4327591807047526, 0.4286510920206706]","[0.8833333333333333, 0.8814666666666666]",1,1
25,150,9600,0.4199872554779053,0.8651333333333333,,,"[0, 1]","[0.5, 0.5]","[0.41830974146525063, 0.4216647694905599]","[0.8655333333333334, 0.8647333333333334]",1,1
26,156,9984,0.41419744453430174,0.8603666666666667,,,"[0, 1]","[0.5, 0.5]","[0.41044162979125975, 0.4179532592773437]","[0.8608666666666667, 0.8598666666666667]",1,1
27,162,10368,0.4843224253336589,0.8223333333333334,,,"[0, 1]","[0.5, 0.5]","[0.4867691009521484, 0.4818757497151693]","[0.8225333333333333, 0.8221333333333334]",1,1
28,168,10752,0.36366926841735836,0.8915,,,"[0, 1]","[0.5, 0.5]","[0.3637148722330729, 0.36362366460164386]","[0.8922666666666667, 0.8907333333333334]",1,1
29,174,11136,0.3515504439036051,0.9018666666666666,,,"[0, 1]","[0.5, 0.5]","[0.35202000122070315, 0.35108088658650716]","[0.9023333333333333, 0.9014]",1,1
